"Halogens","S","P","Other Metal","Hydroxyl or Ether","Ketones, aldehydes, carboxylic acids, or esters","Primary Amine or Ammonium Ion","Secondary Amine or Aromatic Nitrogen","Tertiary Amine or Amide Nitrogen","Aromatic","Aliphatic","mouse intraperitoneal LD50","group","S_Hydroxyl_or_Ether","S_Ketones_aldehydes_acids_esters","Primary_Amine_Ketones_aldehydes_acids_esters","Secondary_Amine_Ketones_aldehydes_acids_esters","Tertiary_Amine_Ketones_aldehydes_acids_esters","Primary_Amine_Hydroxyl_or_Ether","Secondary_Amine_Hydroxyl_or_Ether","Tertiary_Amine_Hydroxyl_or_Ether","Aromatic_Hydroxyl_or_Ether","Aromatic_Other_Metal","Hydroxyl_or_Ether_Ketones_aldehydes_acids_esters","Aliphatic_Tertiary_Amine_or_Amide_Nitrogen"
0,0,0,0,1,1,0,0,0,1,0,2.104215592,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,1,0,0,0,0,1,2.258198804,2,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,1,0,0,0,1,0,3.704748396,4,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,0,1,3.278486808,4,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,2,0,2.489800066,2,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,1,1,-1,-1,1,1,1,2.940764013,3,0,0,-1,-1,1,-1,-1,1,1,0,1,1
0,0,0,0,1,1,-1,1,-1,1,0,4.379467946,5,0,0,-1,1,-1,-1,1,-1,1,0,1,0
0,0,0,0,1,-1,0,0,0,1,0,1.906379614,1,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,1,1,0,0,0,0,1,4.01755561,4,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1,1,0,0,0,0,1,4.168693477,5,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,0,0,0,0,1,3.45152457,4,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,-1,1,-1,-1,1,2,1,3.803623392,4,0,0,-1,-1,1,1,1,-1,-2,0,-1,1
0,0,0,0,1,-1,0,0,0,2,0,3.028519116,3,0,0,0,0,0,0,0,0,2,0,-1,0
0,0,0,0,1,1,1,1,-1,1,0,3.715417339,4,0,0,1,1,-1,1,1,-1,1,0,1,0
0,0,0,0,1,1,0,0,0,1,1,2.133887955,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,-1,-1,-1,1,2,0,3.686077583,4,0,0,1,1,-1,1,1,-1,-2,0,1,0
0,0,0,0,1,1,0,0,0,1,1,2.09522237,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,-1,0,0,0,0,1,2.767778689,3,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,0,0,0,0,1,2.797973475,3,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,0,0,0,0,1,3.296190505,4,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,0,0,0,0,1,2.77654073,3,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,-1,-1,1,0,1,4.394038832,5,0,0,1,1,-1,-1,-1,1,0,0,-1,1
0,1,0,0,1,1,-1,1,1,2,1,5.595981501,5,1,1,-1,1,1,-1,1,1,2,0,1,1
0,1,0,0,1,1,0,0,0,0,1,4.861649926,5,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,-1,-1,1,1,1,6.283834599,5,0,0,-1,-1,1,-1,-1,1,1,0,1,1
0,0,0,0,1,-1,-1,1,-1,0,1,4.641158212,5,0,0,1,-1,1,-1,1,-1,0,0,-1,-1
0,0,0,0,-1,-1,0,0,0,2,0,2.301541077,2,0,0,0,0,0,0,0,0,-2,0,1,0
0,0,0,0,1,1,-1,-1,1,0,1,3.104337996,3,0,0,-1,-1,1,-1,-1,1,0,0,1,1
0,0,0,0,1,-1,-1,-1,1,2,0,2.43429124,2,0,0,1,1,-1,-1,-1,1,2,0,-1,0
0,0,0,0,-1,-1,-1,-1,1,2,0,3.546503272,4,0,0,1,1,-1,1,1,-1,-2,0,1,0
0,0,0,0,1,1,-1,1,1,2,0,3.487314499,4,0,0,-1,1,1,-1,1,1,2,0,1,0
0,0,0,0,-1,-1,-1,1,-1,1,0,3.641407658,4,0,0,1,-1,1,1,-1,1,-1,0,1,0
0,0,0,0,1,1,-1,-1,1,0,1,2.766989859,3,0,0,-1,-1,1,-1,-1,1,0,0,1,1
0,0,0,0,-1,-1,-1,-1,1,2,0,4.049836964,4,0,0,1,1,-1,1,1,-1,-2,0,1,0
0,0,0,0,-1,-1,-1,-1,1,2,0,4.266303576,5,0,0,1,1,-1,1,1,-1,-2,0,1,0
0,0,0,0,1,-1,-1,-1,1,2,1,3.590032761,4,0,0,1,1,-1,-1,-1,1,2,0,-1,1
0,0,0,0,1,1,-1,-1,1,0,1,3.09906573,3,0,0,-1,-1,1,-1,-1,1,0,0,1,1
0,0,0,0,-1,1,-1,1,1,2,1,3.81820973,4,0,0,-1,1,1,1,-1,-1,-2,0,-1,1
0,0,0,0,1,-1,0,0,0,1,0,2.74017601,3,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,1,1,0,0,0,0,1,4.991673434,5,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,-1,-1,-1,1,2,1,3.390172438,4,0,0,1,1,-1,-1,-1,1,2,0,-1,1
0,0,0,0,1,-1,0,0,0,0,1,2.278085524,2,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,1,0,0,0,1,0,3.201456301,3,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,1,-1,-1,1,2,1,3.821898767,4,0,0,-1,-1,1,1,1,-1,-2,0,-1,1
0,0,0,0,1,1,0,0,0,2,0,4.453726446,5,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,1,1,0,0,0,0,1,4.240180233,5,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,0,3.00070051,3,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,1,4.967398194,5,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1,1,0,0,0,2,1,2.713905604,3,0,0,0,0,0,0,0,0,-2,0,-1,0
0,0,0,0,-1,1,0,0,0,1,0,2.913306398,3,0,0,0,0,0,0,0,0,-1,0,-1,0
0,0,0,0,1,1,0,0,0,2,0,3.887681588,4,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,1,1,0,0,0,0,1,4.418806569,5,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,-1,0,0,0,1,0,3.435771535,4,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,-1,1,0,0,0,0,1,3.277531639,4,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,-1,1,0,0,0,1,0,3.109152089,3,0,0,0,0,0,0,0,0,-1,0,-1,0
0,0,0,0,1,1,0,0,0,2,0,2.681628311,3,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,-1,1,-1,-1,1,0,1,3.082071611,3,0,0,-1,-1,1,1,1,-1,0,0,-1,1
0,0,0,0,-1,1,0,0,0,1,1,2.854126587,3,0,0,0,0,0,0,0,0,-1,0,-1,0
0,0,0,0,-1,1,0,0,0,1,1,2.738974868,3,0,0,0,0,0,0,0,0,-1,0,-1,0
0,0,0,0,1,1,1,-1,1,1,0,2.882600158,3,0,0,1,-1,1,1,-1,1,1,0,1,0
0,0,0,0,-1,1,-1,-1,1,0,1,3.654120777,4,0,0,-1,-1,1,1,1,-1,0,0,-1,1
0,0,0,0,-1,1,-1,1,1,1,1,3.05223076,3,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
0,0,0,0,-1,-1,0,0,0,1,0,2.827237914,3,0,0,0,0,0,0,0,0,-1,0,1,0
0,0,0,0,-1,1,0,0,0,0,1,5.29270343,5,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,1,0,0,0,2,0,4.575608076,5,0,0,0,0,0,0,0,0,2,0,1,0
0,1,0,0,0,0,-1,1,-1,1,0,3.085916973,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,-1,-1,-1,0,1,4.542237674,5,0,0,1,1,1,-1,-1,-1,0,0,-1,-1
0,0,0,0,1,1,0,0,0,1,0,1.597286918,1,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,1,0,0,0,0,1,4.623631715,5,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,-1,1,-1,1,0,2.819847325,3,0,0,1,-1,1,-1,1,-1,1,0,-1,0
0,0,0,0,1,-1,0,0,0,1,0,2.516413728,2,0,0,0,0,0,0,0,0,1,0,-1,0
0,1,0,0,1,1,-1,1,-1,0,0,2.610654841,3,1,1,-1,1,-1,-1,1,-1,0,0,1,0
0,0,0,0,1,-1,0,0,0,0,1,1.207956693,1,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,-1,1,0,0,0,0,1,3.006428958,3,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,-1,1,0,0,0,0,1,1.705398962,1,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,1,0,0,0,1,0,2.505575493,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,1,0,0,0,1,0,2.822361281,3,0,0,0,0,0,0,0,0,-1,0,-1,0
0,0,0,0,1,1,0,0,0,1,0,2.552217229,3,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,2.356147009,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,2.931708679,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,0,0,0,1,0,2.498692978,2,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,1,1,0,0,0,0,0,1.45407164,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,-1,-1,1,1,0,3.850096953,4,0,0,-1,-1,1,-1,-1,1,1,0,1,0
0,0,0,0,-1,1,-1,1,-1,2,0,2.67674224,3,0,0,-1,1,-1,1,-1,1,-2,0,-1,0
-1,0,0,0,-1,1,1,-1,1,1,0,3.007702869,3,0,0,1,-1,1,-1,1,-1,-1,0,-1,0
0,0,0,0,1,-1,0,0,0,0,0,1.7225973,1,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,-1,0,0,0,1,0,0.16987932,1,0,0,0,0,0,0,0,0,1,0,-1,0
-1,0,0,0,1,1,-1,-1,1,1,0,4.251558853,5,0,0,-1,-1,1,-1,-1,1,1,0,1,0
0,0,0,0,1,-1,1,-1,-1,0,0,4.929960179,5,0,0,-1,1,1,1,-1,-1,0,0,-1,0
0,0,0,0,-1,1,0,0,0,2,1,4.516816393,5,0,0,0,0,0,0,0,0,-2,0,-1,0
0,1,0,0,1,1,-1,1,1,1,1,2.143533266,2,1,1,-1,1,1,-1,1,1,1,0,1,1
-1,0,0,0,0,0,0,0,0,0,1,3.863220521,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,-1,-1,0,1,2.852205176,3,0,0,0,0,0,0,0,0,0,0,0,-1
1,0,0,0,1,1,0,0,0,0,1,2.748896328,3,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,1,1,-1,1,1,0,1,1.96839488,1,1,1,-1,1,1,-1,1,1,0,0,1,1
0,1,1,0,1,1,1,1,-1,0,0,2.663118841,3,1,1,1,1,-1,1,1,-1,0,0,1,0
0,0,0,0,0,0,-1,-1,1,2,0,3.694244319,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,-1,1,0,2.821437828,3,0,0,1,1,-1,1,1,-1,1,0,1,0
-1,0,0,0,1,-1,-1,1,1,1,0,3.19910764,3,0,0,1,-1,-1,-1,1,1,1,0,-1,0
0,1,0,0,1,1,1,1,1,1,1,2.007687168,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,0,0,-1,1,-1,1,-1,1,0,4.364241505,5,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0
0,0,0,0,-1,1,1,-1,1,1,1,3.676162477,4,0,0,1,-1,1,-1,1,-1,-1,0,-1,1
0,0,0,0,-1,1,-1,-1,1,1,1,2.269037786,2,0,0,-1,-1,1,1,1,-1,-1,0,-1,1
0,0,0,0,-1,1,-1,-1,-1,0,1,3.340348794,4,0,0,-1,-1,-1,1,1,1,0,0,-1,-1
0,0,0,0,0,0,-1,-1,1,2,0,3.755707901,4,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,-1,1,-1,1,0,2.53725165,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,3.555249196,4,0,0,1,1,1,1,1,1,1,0,1,1
-1,0,0,0,-1,1,-1,1,1,1,1,3.95051385,4,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
-1,0,0,0,-1,1,-1,1,1,0,0,4.00295603,4,0,0,-1,1,1,1,-1,-1,0,0,-1,0
0,0,0,0,1,1,-1,1,1,1,0,2.920509642,3,0,0,-1,1,1,-1,1,1,1,0,1,0
0,0,0,0,-1,1,1,-1,1,1,0,3.920943625,4,0,0,1,-1,1,-1,1,-1,-1,0,-1,0
0,0,0,0,1,1,-1,1,-1,1,0,2.389350828,2,0,0,-1,1,-1,-1,1,-1,1,0,1,0
0,0,0,0,1,1,0,0,0,1,0,3.124334647,3,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,-1,-1,1,1,1,0,3.450467934,4,0,0,1,-1,-1,1,-1,-1,-1,0,1,0
-1,1,0,0,1,-1,0,0,0,1,0,3.551519528,4,1,-1,0,0,0,0,0,0,1,0,-1,0
1,0,0,0,1,1,-1,1,1,1,1,2.002979977,1,0,0,-1,1,1,-1,1,1,1,0,1,1
0,0,0,0,1,1,-1,1,-1,1,0,2.451207171,2,0,0,-1,1,-1,-1,1,-1,1,0,1,0
-1,0,0,0,0,0,-1,-1,1,1,1,3.003058556,3,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,1,3.381161484,4,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,1,1,1,1,-1,1,0,2.846438421,3,1,1,1,1,-1,1,1,-1,1,0,1,0
0,0,0,0,1,-1,-1,-1,1,2,1,3.715678429,4,0,0,1,1,-1,-1,-1,1,2,0,-1,1
0,0,0,0,1,1,-1,-1,-1,1,1,3.743960589,4,0,0,-1,-1,-1,-1,-1,-1,1,0,1,-1
0,0,0,0,-1,1,-1,1,1,1,1,3.421685045,4,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
0,0,0,0,1,-1,0,0,0,1,0,3.203245794,3,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,-1,1,-1,1,1,1,1,2.878933762,3,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
0,0,0,0,-1,1,-1,1,-1,0,1,2.240779582,2,0,0,-1,1,-1,1,-1,1,0,0,-1,-1
0,0,0,0,-1,1,-1,1,-1,1,0,2.193329084,2,0,0,-1,1,-1,1,-1,1,-1,0,-1,0
0,0,0,0,1,1,0,0,0,0,1,3.67727761,4,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,-1,1,1,1,-1,1,0,3.035577013,3,-1,1,1,1,-1,-1,-1,1,-1,0,-1,0
-1,0,0,0,1,1,-1,1,-1,1,0,3.219821,4,0,0,-1,1,-1,-1,1,-1,1,0,1,0
0,0,0,0,1,1,-1,1,-1,2,0,2.891914909,3,0,0,-1,1,-1,-1,1,-1,2,0,1,0
0,1,0,0,1,1,1,1,1,1,1,1.848872801,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,0,0,-1,1,1,1,1,1,1,2.093936229,2,-1,1,1,1,1,-1,-1,-1,-1,0,-1,1
0,1,0,0,1,1,1,1,1,1,1,1.745731168,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,0,0,1,1,1,1,1,2,1,2.126849652,2,1,1,1,1,1,1,1,1,2,0,1,1
0,1,0,0,-1,1,1,1,1,1,1,2.342350253,2,-1,1,1,1,1,-1,-1,-1,-1,0,-1,1
0,1,0,0,1,1,1,1,1,1,1,1.924412794,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,0,0,-1,1,1,1,1,1,1,3.000409406,3,-1,1,1,1,1,-1,-1,-1,-1,0,-1,1
-1,0,0,0,1,1,-1,-1,1,1,0,4.182153484,5,0,0,-1,-1,1,-1,-1,1,1,0,1,0
-1,0,0,0,1,1,-1,1,1,1,0,2.467987283,2,0,0,-1,1,1,-1,1,1,1,0,1,0
-1,0,0,0,-1,1,0,0,0,0,1,2.130262989,2,0,0,0,0,0,0,0,0,0,0,-1,0
-1,1,0,0,0,0,-1,1,-1,1,0,2.929840914,3,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,-1,1,1,1,0,3.678960663,4,0,0,0,0,0,0,0,0,0,0,0,0
-1,1,0,0,-1,1,-1,1,-1,1,0,2.830356475,3,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0
-1,1,0,0,0,0,-1,-1,1,2,0,3.566884591,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,-1,-1,-1,0,0,2.383466185,2,0,0,1,1,1,-1,-1,-1,0,0,-1,0
0,0,0,0,1,1,-1,1,1,1,1,2.506719369,2,0,0,-1,1,1,-1,1,1,1,0,1,1
0,0,0,0,1,1,-1,1,-1,1,0,3.095638276,3,0,0,-1,1,-1,-1,1,-1,1,0,1,0
-1,0,0,0,-1,1,-1,-1,1,2,0,3.017300573,3,0,0,-1,-1,1,1,1,-1,-2,0,-1,0
1,0,0,0,1,1,0,0,0,0,1,3.597413483,4,0,0,0,0,0,0,0,0,0,0,1,0
-1,0,0,0,1,-1,-1,-1,1,1,0,3.34816402,4,0,0,1,1,-1,-1,-1,1,1,0,-1,0
-1,0,0,0,0,0,-1,1,-1,1,1,3.361912844,4,0,0,0,0,0,0,0,0,0,0,0,-1
-1,1,0,0,-1,1,-1,1,1,2,0,2.860105141,3,-1,1,-1,1,1,1,-1,-1,-2,0,-1,0
-1,1,0,0,1,1,-1,1,1,1,1,2.571190048,3,1,1,-1,1,1,-1,1,1,1,0,1,1
0,0,0,0,-1,1,-1,-1,1,1,1,3.69055114,4,0,0,-1,-1,1,1,1,-1,-1,0,-1,1
1,0,0,0,-1,1,-1,1,-1,2,0,3.19887418,3,0,0,-1,1,-1,1,-1,1,-2,0,-1,0
0,0,0,0,1,-1,0,0,0,1,0,3.636046357,4,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,-1,1,-1,-1,1,1,0,2.711508238,3,0,0,-1,-1,1,1,1,-1,-1,0,-1,0
0,0,0,0,0,0,-1,-1,1,2,0,3.485713542,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,-1,-1,1,1,1,2.967546486,3,0,0,-1,-1,1,-1,-1,1,1,0,1,1
0,0,0,0,0,0,-1,-1,1,2,1,3.751183111,4,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,-1,1,1,2,1,3.097524272,3,0,0,0,0,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,0,1,0,1.866299156,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,3.079577264,3,0,0,1,1,1,1,1,1,1,0,1,1
0,0,0,0,1,1,-1,-1,1,1,0,2.150942177,2,0,0,-1,-1,1,-1,-1,1,1,0,1,0
0,0,0,0,1,1,-1,1,1,2,0,3.440823681,4,0,0,-1,1,1,-1,1,1,2,0,1,0
0,0,0,0,-1,1,-1,1,1,2,1,3.984273713,4,0,0,-1,1,1,1,-1,-1,-2,0,-1,1
0,0,0,0,1,1,-1,1,-1,0,0,1.333009688,1,0,0,-1,1,-1,-1,1,-1,0,0,1,0
0,0,0,0,0,0,1,-1,-1,1,0,4.487556136,5,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,-1,-1,0,0,1.783355604,1,0,0,1,-1,-1,1,-1,-1,0,0,1,0
0,0,0,0,-1,1,-1,1,1,0,1,4.508834368,5,0,0,-1,1,1,1,-1,-1,0,0,-1,1
-1,1,0,0,1,1,-1,1,1,1,1,2.672406375,3,1,1,-1,1,1,-1,1,1,1,0,1,1
0,0,0,0,1,-1,0,0,0,1,0,2.697929034,3,0,0,0,0,0,0,0,0,1,0,-1,0
1,0,0,0,1,1,0,0,0,0,1,3.541987635,4,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,1,5.292568442,5,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,-1,1,0,3.100631632,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,-1,0,0,0,0,1,2.047378393,2,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,-1,-1,-1,1,1,1,3.474973448,4,0,0,1,1,-1,-1,-1,1,1,0,-1,1
0,0,0,0,-1,1,1,-1,1,1,1,3.150562652,3,0,0,1,-1,1,-1,1,-1,-1,0,-1,1
0,0,0,0,1,1,-1,1,-1,1,0,4.031307145,4,0,0,-1,1,-1,-1,1,-1,1,0,1,0
0,0,0,0,1,-1,-1,1,-1,1,0,3.093516801,3,0,0,1,-1,1,-1,1,-1,1,0,-1,0
-1,0,0,0,-1,1,-1,1,1,1,1,1.726238047,1,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
0,0,0,0,-1,-1,-1,-1,1,2,0,3.548572885,4,0,0,1,1,-1,1,1,-1,-2,0,1,0
0,0,0,0,1,-1,-1,-1,1,1,0,2.412206225,2,0,0,1,1,-1,-1,-1,1,1,0,-1,0
0,0,0,0,1,-1,0,0,0,2,1,3.272268558,4,0,0,0,0,0,0,0,0,2,0,-1,0
1,0,0,0,-1,1,-1,1,1,1,1,3.721804892,4,0,0,-1,1,1,1,-1,-1,-1,0,-1,1
0,0,0,0,-1,1,-1,-1,1,1,1,3.745523695,4,0,0,-1,-1,1,1,1,-1,-1,0,-1,1
0,1,0,0,1,1,-1,-1,1,1,1,2.667387693,3,1,1,-1,-1,1,-1,-1,1,1,0,1,1
0,0,0,0,1,1,-1,1,1,1,0,1.812267002,1,0,0,-1,1,1,-1,1,1,1,0,1,0
-1,0,0,0,1,-1,0,0,0,0,0,2.720838603,3,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,1,1,-1,-1,1,0,0,3.129904053,3,0,0,-1,-1,1,-1,-1,1,0,0,1,0
0,0,0,0,-1,1,-1,1,1,1,0,3.696086864,4,0,0,-1,1,1,1,-1,-1,-1,0,-1,0
0,0,0,0,1,1,0,0,0,2,1,3.963612245,4,0,0,0,0,0,0,0,0,2,0,1,0
0,0,0,0,-1,1,0,0,0,1,0,2.549603988,3,0,0,0,0,0,0,0,0,-1,0,-1,0
1,0,0,0,-1,-1,1,1,-1,1,0,4.502036011,5,0,0,-1,-1,1,-1,-1,1,-1,0,1,0
0,0,0,0,1,1,0,0,0,1,0,2.722273704,3,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1,1,-1,-1,1,1,1,3.722011399,4,0,0,-1,-1,1,1,1,-1,-1,0,-1,1
-1,1,0,0,1,1,-1,1,-1,1,0,3.111587469,3,1,1,-1,1,-1,-1,1,-1,1,0,1,0
0,0,0,0,-1,1,-1,1,-1,0,1,3.000645125,3,0,0,-1,1,-1,1,-1,1,0,0,-1,-1
-1,0,0,0,-1,1,-1,-1,1,2,1,2.891682675,3,0,0,-1,-1,1,1,1,-1,-2,0,-1,1
1,0,0,0,1,1,-1,-1,1,1,1,2.391338613,2,0,0,-1,-1,1,-1,-1,1,1,0,1,1
1,1,0,0,1,1,-1,1,1,1,1,2.526606321,2,1,1,-1,1,1,-1,1,1,1,0,1,1
1,0,0,0,1,1,-1,1,1,1,1,2.578364108,3,0,0,-1,1,1,-1,1,1,1,0,1,1
1,0,0,0,0,0,-1,-1,1,1,1,3.028283611,3,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,1,3.6427756,4,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,1,3.490073538,4,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,1,2.155848798,2,0,0,0,0,0,0,0,0,0,0,1,0
-1,0,1,0,-1,1,-1,1,1,0,0,3.721115077,4,0,0,-1,1,1,1,-1,-1,0,0,-1,0
0,0,0,0,1,1,-1,1,1,1,1,2.875369985,3,0,0,-1,1,1,-1,1,1,1,0,1,1
0,0,0,0,1,1,1,-1,-1,0,0,1.318741917,1,0,0,1,-1,-1,1,-1,-1,0,0,1,0
0,0,0,0,1,-1,1,1,-1,0,1,3.307999184,4,0,0,-1,-1,1,1,1,-1,0,0,-1,-1
-1,0,0,0,1,1,-1,1,-1,1,0,0.702253503,1,0,0,-1,1,-1,-1,1,-1,1,0,1,0
-1,1,0,0,-1,1,-1,1,-1,1,1,2.262374613,2,-1,1,-1,1,-1,1,-1,1,-1,0,-1,-1
1,0,0,0,1,1,0,0,0,0,1,3.481887684,4,0,0,0,0,0,0,0,0,0,0,1,0
-1,0,0,0,0,0,0,0,0,0,1,3.458139068,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,-1,-1,1,1,1,2.871680202,3,0,0,-1,-1,1,-1,-1,1,1,0,1,1
